"Repository","Title","Call No.","Language(s)","Date","CompuDate","Place","Keywords","Front Cover","OPenn Record","Data","Page Turning","Penn in Hand Record","Summary","Collation View","Online","Month Photographed"
"The College of Physicians of Philadelphia, Historical Medical Library of The College of Physicians of Philadelphia","Liber de conservation sanitatis","10a 210","Latin","13-- or c. 1400","","none noted","","","","","","","","","Online? No","Photographed: September 2017"
"The College of Physicians of Philadelphia, Historical Medical Library of The College of Physicians of Philadelphia","De crisi[bus] libri tres","10a 233","Latin","1st half of the 13th century","","none noted","","","","","","","","","Online? No","Photographed: September 2017"
"The College of Physicians of Philadelphia, Historical Medical Library of The College of Physicians of Philadelphia","Lilium medicinae","10a 249 ","Latin","1348","","none noted","","","","","","","","","Online? No","Photographed: September 2017"
"The College of Physicians of Philadelphia, Historical Medical Library of The College of Physicians of Philadelphia","Viaticus liber","Z10 76","Latin","second quarter of the 13th c. (before 1244)","","none noted","","","","","","","","","Online? No","Photographed: September 2017"
"The College of Physicians of Philadelphia, Historical Medical Library of The College of Physicians of Philadelphia","Artzenei buch","10a 231","Latin and German","c. 1568","","none noted","","","","","","","","","Online? No","Photographed: September 2017"
"The College of Physicians of Philadelphia, Historical Medical Library of The College of Physicians of Philadelphia","Medical Miscellany I (3 in one). Bernardus de Guidonis, De regimine sanitatis, Peers","10a 215","Latin and Middle English","15th c.","","none noted","","","","","","","","","Online? No","Photographed: September 2017"
"Franklin and Marshall","The Hawley Hours","Misc. Ms. 146","Dutch","1450","","South Netherlands","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Statuta nova (New Statutes)","LC 14 10","Anglo-Norman","1485","","England","","","","","","","","","Online? No","Photographed: July 2017"
"Free Library of Philadelphia","Statuta nova (New Statutes)","LC 14 9.5","Anglo-Norman","ca. 1450","","England","","","","","","","","","Online? No","Photographed: July 2017"
"Free Library of Philadelphia","Magna carta; Statutes of Merton","LC 14 12","Anglo-Norman and Latin","1400","","England","","","","","","","","","Online? No","Photographed: July 2017"
"Free Library of Philadelphia","Bible, New Testament","Lewis E 041","Church Slavonic","1500","","Bohemia","","","","","","","","","Online? No","Photographed: October 2016"
"Free Library of Philadelphia","Psalter-Hours","Lewis E 183","Dutch","1450","","Netherlands","","","","","","","","","Online? No","Photographed: February 2017"
"Free Library of Philadelphia","Prayer","Lewis E 174","Dutch","1400","","Flanders","","","","","","","","","Online? No","Photographed: May 2017"
"Free Library of Philadelphia","Betrayal of Calais to the French in 1557; Brut Chronicle; Undetermined Latin text","Lewis E 238","English","1550 and 1400 and 1500","","England","","","","","","","","","Online? No","Photographed: November 2017"
"Free Library of Philadelphia","Tomorrow’s Tragical Day of England","Lewis E 080","English","11/24/1751","","England","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Harmony of the Bible","Lewis E 203","English","1585","","England","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Les dits moraulx des philosophes","Lewis E 209","French","4/1/1473","","France","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","La voie de Povreté ou de Richesse (The Way of Poverty or of Wealth)","Widener 001","French","1425","","France","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Bible du XIIIe siècle","Widener 002","French","1450","","France","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Le chemin de paradis (The way to paradise)","Lewis E 210","French and Latin","1450","","France","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Noels (Christmas carols); Noels (Notary document used in inner binding)","Lewis E 211","French and Latin","1500","","France","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Golden Bull of Charles IV","Lewis E 064","German","1440","","Germany","","","","","","","","","Online? No","Photographed: May 2017"
"Free Library of Philadelphia","Crailsheim Chronicle (Crailsheimische Cronic)","Lewis E 067","German","1700","","Germany","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Enarratio in prophetam Isaiam","Lewis E 251","Greek","900","","Greece","","","","","","","","","Online? No","Photographed: November 2017"
"Free Library of Philadelphia","Fragment of a Menologium","Lewis E 156","Greek","1000","","Greece","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","[Grammatical treatise]","Lewis E 235b","Greek","1400","","Turkey","","","","","","","","","Online? No","Photographed: December 2017"
"Free Library of Philadelphia","Rule of the Order of the Jesuati of San Guisto delle Mura, Florence","Lewis E 140","Italian","1510","","Italy","","","","","","","","","Online? No","Photographed: September 2017"
"Free Library of Philadelphia","De precetti della lege Divina Sacramento simbolo et altre cose della Dottrina Christiana","Lewis E 219","Italian","1390","","Italy","","","","","","","","","Online? No","Photographed: November 2017"
"Free Library of Philadelphia","Carta Pisano; Sententiae (Sentences)","Lewis E 136","Italian and Latin","1090","","Italy","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Calligraphy book bound in an antiphonal leaf","Lewis E 055","Italian; Latin","1750","","Italy","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Antiphonary","Lewis E 011","Italian; Latin ?","1475","","Italy","","","","","","","","","Online? No","Photographed: March 2017"
"Free Library of Philadelphia","Hexameron; Three short exempla","Lewis E 004","Latin","1450","","Italy","","","","","","","","","Online? No","Photographed: October 2016"
"Free Library of Philadelphia","Book of Hours","Lewis E 085","Latin","1425","","France","","","","","","","","","Online? No","Photographed: November 2016"
"Free Library of Philadelphia","Book of Hours, use of Rome","Lewis E 122","Latin","1485","","Italy","","","","","","","","","Online? No","Photographed: December 2016"
"Free Library of Philadelphia","Prayer book","Lewis E 177","Latin","1200","","France or Germany","","","","","","","","","Online? No","Photographed: February 2017"
"Free Library of Philadelphia","Prayer book","Lewis E 179","Latin","ca. 1540 and 1525","","Northern Germany or Flanders","","","","","","","","","Online? No","Photographed: February 2017"
"Free Library of Philadelphia","Psalter","Lewis E 181","Latin","1250","","Flanders","","","","","","","","","Online? No","Photographed: February 2017"
"Free Library of Philadelphia","Tractatus moralis de virtutibus (Moral Tract on the Virtues)","Lewis E 167","Latin","1385","","England or France","","","","","","","","","Online? No","Photographed: May 2017"
"Free Library of Philadelphia","Aurora","Lewis E 169","Latin","1300","","Italy","","","","","","","","","Online? No","Photographed: May 2017"
"Free Library of Philadelphia","Prayer book","Lewis E 176","Latin","9/22/1538 and 1575","","France","","","","","","","","","Online? No","Photographed: May 2017"
"Free Library of Philadelphia","Ars Poetica (Art of Poetry); Carmen seculare; Epistolae (Epistles); Odes","Horace MS 2 (olim Lewis E 235a)","Latin","1475","","Italy","","","","","","","","","Online? No","Photographed: June 2017"
"Free Library of Philadelphia","Statuta vetera (Old Statutes)","LC 14 20.5","Latin","1290","","England","","","","","","","","","Online? No","Photographed: June 2017"
"Free Library of Philadelphia","Excerpta orationum Demosthenis et Aeschini (Excerpts of the Orations of Demosthenes and Aeschines); Historia Romana (History of Rome)","Lewis E 071","Latin","ca. 1450","","Italy","","","","","","","","","Online? No","Photographed: June 2017"
"Free Library of Philadelphia","[Manuscript of an evangelist and prebendary of the minor orders]","Lewis E 253","Latin","c. 1359","","Italy?","","","","","","","","","Online? No","Photographed: June 2017"
"Free Library of Philadelphia","Breviary, Cistercian use","Lewis E 256","Latin","1318-1325","","Germany","","","","","","","","","Online? No","Photographed: June 2017"
"Free Library of Philadelphia","Britton","LC 14 13","Latin","1300","","England","","","","","","","","","Online? No","Photographed: July 2017"
"Free Library of Philadelphia","Statuta vetera (Old Statutes)","LC 14 19","Latin","1400","","England","","","","","","","","","Online? No","Photographed: July 2017"
"Free Library of Philadelphia","Statuta vetera (Old Statutes)","LC 14 21","Latin","1300","","England","","","","","","","","","Online? No","Photographed: July 2017"
"Free Library of Philadelphia","Statuta vetera (Old Statutes)","LC 14 28","Latin","1385","","England","","","","","","","","","Online? No","Photographed: July 2017"
"Free Library of Philadelphia","Bible","Lewis E 034","Latin","1240","","France","","","","","","","","","Online? No","Photographed: August 2017"
"Free Library of Philadelphia","Biblical commentary on the Pentateuch (Exodus 26 - Numbers); Biblical commentary on the Pentateuch (Leviticus)","Lewis E 035","Latin","1220","","France, Pontigny?","","","","","","","","","Online? No","Photographed: August 2017"
"Free Library of Philadelphia","Bible","Lewis E 038","Latin","1240","","Italy","","","","","","","","","Online? No","Photographed: August 2017"
"Free Library of Philadelphia","Bible, glossed Mark","Lewis E 042","Latin","1140","","Italy","","","","","","","","","Online? No","Photographed: August 2017"
"Free Library of Philadelphia","Epistola ad Iheronimum (Letter to Jerome); Vitae patrum (Lives of the Fathers)","Lewis E 081","Latin","1400","","Germany","","","","","","","","","Online? No","Photographed: August 2017"
"Free Library of Philadelphia","Book of Hours, use of Paris","Lewis E 093","Latin","1400","","France","","","","","","","","","Online? No","Photographed: September 2017"
"Free Library of Philadelphia","Book of Hours, use of Paris","Lewis E 094","Latin","1440","","France","","","","","","","","","Online? No","Photographed: September 2017"
"Free Library of Philadelphia","Historia Hierosolymitana (History of Jerusalem)","Lewis E 138","Latin","1450","","Italy","","","","","","","","","Online? No","Photographed: September 2017"
"Free Library of Philadelphia","Bible","Lewis E 036","Latin","1250","","Italy","","","","","","","","","Online? No","Photographed: October 2017"
"Free Library of Philadelphia","Book of Hours, use of Paris","Lewis E 095","Latin","1475","","France","","","","","","","","","Online? No","Photographed: October 2017"
"Free Library of Philadelphia","Book of Hours, use of Rome","Lewis E 106","Latin","1450","","Belgium","","","","","","","","","Online? No","Photographed: October 2017"
"Free Library of Philadelphia","Repertorium juris civilis (Catalog of Civil Law)","Lewis E 142","Latin","10/17/1458","","Germany","","","","","","","","","Online? No","Photographed: October 2017"
"Free Library of Philadelphia","Fragment of a Lectionary","Lewis E 144","Latin","1250","","Germany","","","","","","","","","Online? No","Photographed: October 2017"
"Free Library of Philadelphia","Epistolary","Lewis E 148","Latin","1490","","Italy","","","","","","","","","Online? No","Photographed: October 2017"
"Free Library of Philadelphia","Periochae","Lewis E 150","Latin","1460","","Italy","","","","","","","","","Online? No","Photographed: October 2017"
"Free Library of Philadelphia","Fragment of a Martyrology","Lewis E 153","Latin","1200","","Italy","","","","","","","","","Online? No","Photographed: October 2017"
"Free Library of Philadelphia","Missal, use of Rome","Lewis E 157","Latin","1525","","Flanders","","","","","","","","","Online? No","Photographed: October 2017"
"Free Library of Philadelphia","Fragment of a Missal","Lewis E 159","Latin","1200","","Germany","","","","","","","","","Online? No","Photographed: October 2017"
"Free Library of Philadelphia","Missal","Lewis E 161","Latin","1350","","Germany","","","","","","","","","Online? No","Photographed: October 2017"
"Free Library of Philadelphia","Book of Hours","Lewis E 212","Latin","1475","","France","","","","","","","","","Online? No","Photographed: October 2017"
"Free Library of Philadelphia","Summa de casibus poenitentia, glossed","Lewis E 248","Latin","1250","","France","","","","","","","","","Online? No","Photographed: October 2017"
"Free Library of Philadelphia","Organon","Lewis E 015","Latin","1385","","Italy","","","","","","","","","Online? No","Photographed: November 2017"
"Free Library of Philadelphia","Excerpts from De viris illustribus (On Famous Men); Excerpts from the Supplementum chronicarum; Excerpts from the Vita Henrici Quinti (Life of Henry V); Excerpts from works on Venice; Rumores e venetiis allati...","Lewis E 139","Latin","1500","","England","","","","","","","","","Online? No","Photographed: November 2017"
"Free Library of Philadelphia","Psalter","Lewis E 186","Latin","1240","","Germany","","","","","","","","","Online? No","Photographed: November 2017"
"Free Library of Philadelphia","Postilla epistolarum dominicalium","Lewis E 216","Latin","12/21/1408","","Germany","","","","","","","","","Online? No","Photographed: November 2017"
"Free Library of Philadelphia","Missal","Lewis E 218","Latin","1200","","Italy","","","","","","","","","Online? No","Photographed: November 2017"
"Free Library of Philadelphia","Revelations","Lewis E 240","Latin","1400","","Italy","","","","","","","","","Online? No","Photographed: November 2017"
"Free Library of Philadelphia","Statuta vetera (Old Statutes)","LC 14 14","Latin","1400","","England","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Tractatus de maleficiis (Treatise on Evil Deeds)","LC 14 23","Latin","1450","","Italy","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Antiphonary, diurnal (Ambrosian Rite)","Lewis E 010","Latin","1500","","Italy","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Antiphonary","Lewis E 012","Latin","1490","","Italy","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","In epistolam Johannis ad Parthos (Sermons on the First Epistle of St. John)","Lewis E 019","Latin","1185","","France","","","","","","","","","Online? No","Photographed: December 2017"
"Free Library of Philadelphia","De quattuor virtutibus caritatis (On the four virtues of charity); Missal","Lewis E 020","Latin","1000","","France","","","","","","","","","Online? No","Photographed: December 2017"
"Free Library of Philadelphia","Enarrationes in psalmos (Expositions on the Psalms); Initials (ABC); Prayer","Lewis E 022","Latin","1150","","Spain","","","","","","","","","Online? No","Photographed: January 2018"
"Free Library of Philadelphia","Sermons","Lewis E 023","Latin","1400","","Germany","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Bible","Lewis E 029","Latin","1225","","England","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Bible","Lewis E 037","Latin","1250","","Italy","","","","","","","","","Online? No","Photographed: January 2018"
"Free Library of Philadelphia","XXIV Collationes","Lewis E 063","Latin","1125","","England","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Constitutiones clementinae (Clementine Constitutions)","Lewis E 065","Latin","1390","","France","","","","","","","","","Online? No","Photographed: January 2018"
"Free Library of Philadelphia","Compendium historiae in genealogia Christi (Historical Compendium of the Genealogy of Christ), with a treatise on the Candelabrum","Lewis E 072","Latin","1325","","France","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Gradual","Lewis E 073","Latin","1400","","Italy","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Gradual or Antiphonary","Lewis E 074","Latin","1700","","Italy","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Homiliae in Ezechielem Prophetam Libri II (Sermons on the Prophet Ezekiel, Book 2)","Lewis E 075","Latin","1440","","Flanders","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Decretals with Glossa ordinaria of Bernardo da Parma","Lewis E 077","Latin","1300","","France","","","","","","","","","Online? No","Photographed: December 2017"
"Free Library of Philadelphia","Ibimus; Meditationes; Theological miscellany","Lewis E 084","Latin","1300","","England","","","","","","","","","Online? No","Photographed: December 2017"
"Free Library of Philadelphia","Book of Hours, use of Bourges","Lewis E 086","Latin","1490","","France","","","","","","","","","Online? No","Photographed: January 2018"
"Free Library of Philadelphia","Book of Hours, use of Paris","Lewis E 097","Latin","1485","","France","","","","","","","","","Online? No","Photographed: December 2017"
"Free Library of Philadelphia","Book of Hours, use of Rome","Lewis E 099","Latin","1425","","Belgium","","","","","","","","","Online? No","Photographed: December 2017"
"Free Library of Philadelphia","Book of Hours, use of Rome","Lewis E 102","Latin","1485","","Flanders","","","","","","","","","Online? No","Photographed: December 2017"
"Free Library of Philadelphia","Book of Hours, use of Rome","Lewis E 107","Latin","1500","","Flanders","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Book of Hours, use of Rome","Lewis E 108","Latin","1485","","Belgium","","","","","","","","","Online? No","Photographed: January 2018"
"Free Library of Philadelphia","Book of Hours, use of Rome","Lewis E 113","Latin","1500","","France","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Book of Hours, use of Rome","Lewis E 118","Latin","1450","","Italy","","","","","","","","","Online? No","Photographed: January 2018"
"Free Library of Philadelphia","Book of Hours, use of Rome;  Litany and Prayers","Lewis E 119","Latin","1475 and 1500","","Italy","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Book of Hours, use of Tours","Lewis E 128","Latin","1485","","France","","","","","","","","","Online? No","Photographed: December 2017"
"Free Library of Philadelphia","Sententiae (Sentences)","Lewis E 137","Latin","1100","","Spain","","","","","","","","","Online? No","Photographed: December 2017"
"Free Library of Philadelphia","Excerpta de dictis Alberti Magni super III et IV libris sententiarum (Excerpts from the Commentary of Albertus Magnus on the Third and Fourth Books of Sentences)","Lewis E 141","Latin","1400","","Germany","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Gospel Lectionary","Lewis E 160","Latin","1500","","Belgium","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Lectura super quantum librum Decretalium (Commentary on the Fifth Book of Decretals); Lectura super quintum librum Decretalium (Commentary on the Fifth Book of Decretals)","Lewis E 163","Latin","1440","","Germany","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Historia scholastica","Lewis E 168","Latin","1300","","France","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Liber IV sententiarum (Four Books of Sentences)","Lewis E 170","Latin","1300","","France","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Pontifical","Lewis E 171","Latin","1400","","Italy","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Psalter","Lewis E 182","Latin","1450","","Flanders","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Lewis Psalter","Lewis E 185","Latin","1225","","France","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Psalter, glossed","Lewis E 188","Latin","1425","","Germany","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Complementum in partem III Summae S. Thomae de Aquino (Complement to the Third Part of the Summae of St. Thomas Aquinas); Liturgical text","Lewis E 190","Latin","1400 and 1100","","Germany","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Sermons, from Advent to Easter","Lewis E 194","Latin","1440","","Germany","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Comediae","Lewis E 196","Latin","1190","","Italy","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Expositio in Civitatem Dei S. Augustini (Commentary on St. Augustine’s City of God)","Lewis E 197","Latin","1475","","Italy","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Aeneid; Eclogues","Lewis E 198","Latin","1440","","Italy","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Chronicle of the History of the World from Creation to Woden, with a Genealogy of Edward IV","Lewis E 201","Latin","1450","","England","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Compendium historiae in genealogia Christi (Historical Compendium of the Genealogy of Christ)","Lewis E 202","Latin","1475","","England","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Book of Hours, use of Rome","Lewis E 214","Latin","1500","","France","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Gradual","Lewis E 220","Latin","1485","","Italy","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Antiphonary","Lewis E 221","Latin","1525","","Portugal","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Antiphonary","Lewis E 222","Latin","1525","","Portugal","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Antiphonary","Lewis E 223","Latin","1540","","Portugal","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Gradual","Lewis E 225","Latin","1585","","Portugal","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Gradual","Lewis E 226","Latin","1540","","Portugal","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Gradual","Lewis E 229","Latin","1540","","Portugal","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Choir psalter; Hymnal","Lewis E 231","Latin","1540","","Portugal","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Antiphonary","Lewis E 233","Latin","1540","","Portugal","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Antiphonary","Lewis E 234","Latin","1540","","Portugal","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Breviary","Lewis E 236","Latin","1300","","France","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Bible, Gospels","Lewis E 239","Latin","1000","","Germany","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Bible","Lewis E 242","Latin","1240","","France","","","","","","","","","Online? No","Photographed: January 2018"
"Free Library of Philadelphia","Bible, glossed minor prophets; Missal","Lewis E 243","Latin","1200","","France","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Infortiatum (Part II of the Digest of Justinian I)","Lewis E 244","Latin","1250","","Italy","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","De differentia translationis nostrae ab hebraica littera veteris testamentum?","Lewis E 246","Latin","1300","","Germany ?","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Gesta regum Anglorum (Deeds of the English Kings); Historia regum Britanniae (History of the Kings of Britain)","Lewis E 247","Latin","1190","","England","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Compendium historiae in genealogia Christi (The Compendium of History in the Genealogy of Christ); Explanation of the Wheel of Sevens","Lewis E 249A and B","Latin","1275","","England","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Treatise on the Construction of an Astrolabe","Lewis E 250","Latin","1400","","Unknown","","","","","","","","","Online? No","Photographed: January 2018"
"Free Library of Philadelphia","Book of Hours, Sarum use","Widener 003","Latin","1450","","Belgium","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Book of Hours, use of Rennes","Widener 004","Latin","1400","","France","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Book of Hours","Widener 005","Latin","1450 and 1400","","Flanders","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Book of Hours, use of Paris","Widener 008","Latin","1485","","Italy","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Psalter-Hours","Widener 009","Latin","1250","","France","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Prayer against the plague; Prayer book","Lewis E 175","Latin (some Italian headings)","1490","","Flanders","","","","","","","","","Online? No","Photographed: May 2017"
"Free Library of Philadelphia","Book of Hours, use of Paris","Widener 006","Latin and French","1400","","France","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Oedipi et Sphingis dialogus (Dialogues between Oedipus and the Sphinx); Le Sphinx","Lewis E 164","Latin and Greek","1550","","France","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","[Life of the Holy Franciscus and His Companions]","Lewis E 258","Latin and Italian","14th c?","","Italy?","","","","","","","","","Online? No","Photographed: June 2017"
"Free Library of Philadelphia","Dogale","Lewis E 143","Latin and Italian","1500","","Italy","","","","","","","","","Online? No","Photographed: October 2017"
"Free Library of Philadelphia","Carta Executoria","Lewis E 263","Latin and Spanish","1538?","","Spain","","","","","","","","","Online? No","Photographed: June 2017"
"Free Library of Philadelphia","Book of Hours, use of Paris","Widener 007","Latin; Calendar and prayers on ff. 240r-248v in French","1400","","France","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Book of Hours, use of Rome","Lewis E 104","Latin; French (calendar and rubrics)","1450","","Flanders","","","","","","","","","Online? No","Photographed: September 2017"
"Free Library of Philadelphia","Choir book","Lewis E 056","Latin; Italian","1700","","Italy","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Unknown","Lewis E 024","not noted","unknown","","not noted","","","","","","","","","Online? No","Photographed: not yet photographed"
"Free Library of Philadelphia","Carta executoria, in favor of Juan de Londono","Lewis E 059","Spanish","12/2/1587","","Spain","","","","","","","","","Online? No","Photographed: May 2017"
"Free Library of Philadelphia","Carta executoria","Lewis E 241","Spanish","1540","","Spain","","","","","","","","","Online? No","Photographed: January 2018"
"Free Library of Philadelphia","Fuero real (Royal municipal code)","Lewis E 245","Spanish","1250","","Spain","","","","","","","","","Online? No","Photographed: January 2018"
"Free Library of Philadelphia","Schwabenspiegel","Lewis E 260","Swabian","15th c.","","Germany","","","","","","","","","Online? No","Photographed: July 2017"
"Free Library of Philadelphia","Chart of Consanguinity; Schwabenspiegel Landrecht (Common Law of the Swabians)","Lewis E 069","Upper German","1385","","Germany","","","","","","","","","Online? No","Photographed: June 2017"
"Free Library of Philadelphia","Meditationes de passione Christi (Meditations on the Passion of Christ)","Lewis E 219.1","None noted","1400","","Netherlands","","","","","","","","","Online? No","Photographed: November 2017"
"Haverford","Bible from Northern France","1250 J2.16.10","Latin","1200-1300","","not noted","","","","","","","","","Online? No","Photographed: not yet photographed"
"Haverford","Psalms and Song of Songs","Rendel Harris 42","Latin","1400-1500","","not noted","","","","","","","","","Online? No","Photographed: not yet photographed"
"Haverford","Gospels with commentary","Rendel Harris 43","Latin","1400-1500","","not noted","","","","","","","","","Online? No","Photographed: not yet photographed"
"Haverford","Vulgate concordance","Rendel Harris 44","Latin","1400-1500","","not noted","","","","","","","","","Online? No","Photographed: not yet photographed"
"Haverford","Essay on Greek and Roman history","Rendel Harris 44a","Latin","1457","","not noted","","","","","","","","","Online? No","Photographed: not yet photographed"
"Haverford","Leonardo Arentino Bruni mss","Rendel Harris 44b","Latin","1400-1500","","not noted","","","","","","","","","Online? No","Photographed: not yet photographed"
"Haverford","Thomas Aquinas treatises","Rendel Harris 45","Latin","1400-1500","","not noted","","","","","","","","","Online? No","Photographed: not yet photographed"
"Haverford","Gasparino Barzizza text on rhetoric","Rendel Harris 47a","Latin","1400-1500","","not noted","","","","","","","","","Online? No","Photographed: not yet photographed"
"Haverford","Gasparino Barzizza text on rhetoric","Rendel Harris 47b","Latin","1400-1500","","not noted","","","","","","","","","Online? No","Photographed: not yet photographed"
"Lehigh","John Cassian. Coliatiosses XXIV","5","Dutch","14th c.","","Netherlands","","","","","","","","","Online? No","Photographed: November 2017"
"Lehigh","Anon. Writings on astronomy","9","Italian","15th c.","","Italy","","","","","","","","","Online? No","Photographed: November 2017"
"Lehigh","Reginold of Eichstatt. Historia of St. Nicholas with the lections","1","Latin","12th c.","","Italy","","","","","","","","","Online? No","Photographed: not yet photographed"
"Lehigh","Anon. Life of St. Nicholas","2","Latin","12th c.","","Italy","","","","","","","","","Online? No","Photographed: not yet photographed"
"Lehigh","Robert Holcot, et Moral and didactic writings","4","Latin","14th c.","","Northern Italy","","","","","","","","","Online? No","Photographed: November 2017"
"Lehigh","Deed of Release","6","Latin","1484","","English","","","","","","","","","Online? No","Photographed: not yet photographed"
"Lehigh","Roger of St. Albans. Genealogical roll","8","Latin","15th c.","","England","","","","","","","","","Online? No","Photographed: not yet photographed"
"Lehigh","Antonio Guaineri. De Artetica et De Caculosa Passione","11","Latin","15th c.","","Italy","","","","","","","","","Online? No","Photographed: not yet photographed"
"Lehigh","Anon. Portulan charts","12","Latin","16th c.","","Italy","","","","","","","","","Online? No","Photographed: not yet photographed"
"Lehigh","Publius Vergilius Maro. Amid","13","Latin","15th c.","","Italy","","","","","","","","","Online? No","Photographed: December 2017"
"Lehigh","jean Ruel, editor and translator. Varii Antis Veterinariae Scriptores Graece","14","Latin","16th c.","","France","","","","","","","","","Online? No","Photographed: November 2017"
"Lehigh","Book of Hours of the Roman use","15","Latin","15th c.","","France","","","","","","","","","Online? No","Photographed: November 2017"
